TopicID,Class,Subject,TopicName,Description
T001,6,English,Active and Passive Voice,
T002,6,English,Adjectives,
T003,6,English,Adverbs,
T004,6,English,Antonyms,
T005,6,English,Articles,
T006,6,English,Conjunctions,
T007,6,English,Direct and Indirect Speech,
T008,6,English,Idioms & Phrases,
T009,6,English,Jumbled Sentences,
T010,6,English,Nouns,
T011,6,English,One Word Substitution,
T012,6,English,Prepositions,
T013,6,English,Pronouns,
T014,6,English,Question Tags,
T015,6,English,Sentence Types,
T016,6,English,Spellings,
T017,6,English,Subject-Verb Agreement,
T018,6,English,Synonyms,
T019,6,English,Tenses,
T020,6,English,Verbs,
T021,6,English,Vocabulary,
T022,6,Mathematics,Algebra,
T023,6,Mathematics,Arithmetic,
T024,6,Mathematics,Average,
T025,6,Mathematics,Decimals,
T026,6,Mathematics,Fractions,
T027,6,Mathematics,Geometry,
T028,6,Mathematics,Mensuration,
T029,6,Mathematics,Number System,
T030,6,Mathematics,Percentage,
T031,6,Mathematics,Profit and Loss,
T032,6,Mathematics,Ratio & Proportion,
T033,6,Mathematics,Simple Interest,
T034,6,Mathematics,"Speed, Distance & Time",
T035,6,Mathematics,Unitary Method,
T036,6,Science,Body Movements,
T037,6,Science,Changes Around Us,
T038,6,Science,Components of Food,
T039,6,Science,Electricity & Circuits,
T040,6,Science,Fibre to Fabric,
T041,6,Science,Fun with Magnets,
T042,6,Science,Garbage Management,
T043,6,Science,Getting to Know Plants,
T044,6,Science,Light & Reflections,
T045,6,Science,Living Organisms,
T046,6,Science,Motion & Distance,
T047,6,Science,Separation of Substances,
T048,6,Science,Sorting Materials,
T049,6,Science,Water & Air,
T050,6,GK,General Knowledge,
T051,6,GK,Geography,
T052,6,GK,History,
T053,6,GK,Polity,
T054,6,Sports,Asian Games,
T055,6,Sports,Badminton,
T056,6,Sports,Commonwealth Games,
T057,6,Sports,Cricket,
T058,6,Sports,Football,
T059,6,Sports,Hockey,
T060,6,Sports,National Sports,
T061,6,Sports,Olympic Games,
T062,6,Sports,Sports Terminology,
T063,6,Sports,Table Tennis,
T064,6,Sports,Tennis,
T065,6,English,Abstract Nouns,
T066,6,English,Collective Nouns,
T067,6,English,Common Nouns,
T068,6,English,Compound Noun,
T069,6,English,Countable Nouns,
T070,6,English,Determiners,
T071,6,English,Gender,
T072,6,English,Homophones,
T073,6,English,Idioms,
T074,6,English,Material Nouns,
T075,6,English,Modals,
T076,6,English,Noun Formation,
T077,6,English,Noun Identification,
T078,6,English,Noun Number,
T079,6,English,Noun Type,
T080,6,English,Noun Usage,
T081,6,English,Number,
T082,6,English,One-word Substitution,
T083,6,English,Parts Of Speech,
T084,6,English,Phrasal Verbs,
T085,6,English,Plural Spelling,
T086,6,English,Possessive Noun,
T087,6,English,Proper Nouns,
T088,6,English,Reading Comprehension,
T089,6,English,Sentences,
T090,6,English,Uncountable Nouns,
T091,6,English,Word Formation,
